,0
0,313.36221618939925
1,339.91992041462754
2,305.5462447789558
3,401.24132858737045
4,333.57368478796144
5,279.89411573389873
6,320.0370797486503
7,336.52056269752376
8,333.7664562015021
9,308.88580542509317
10,289.32818299810253
11,294.83179546915153
12,384.3163621252161
13,332.32541199893586
14,314.5821231894066
15,321.6915747442441
16,305.95396622941047
17,324.6062776769336
18,345.17863298477033
19,312.8594266896346
20,263.7236715599706
21,303.21845411203213
22,324.2002099023556
23,315.74772779857625
24,296.55109192308066
25,335.23884778678763
26,257.4480994345864
27,289.88731740009376
28,325.1439676141995
29,319.93829991226943
30,332.37171582641054
31,321.2896295073943
32,285.29821479733516
33,331.1571904374338
34,323.8171992752797
35,334.6245088252606
36,568.9031530505525
37,333.5164603523081
38,313.76729660071123
39,344.6240162330621
40,337.71279905370636
41,577.7949351504674
42,326.3782671762007
43,361.543048630798
44,767.8891318430203
45,944.5644018906814
46,1020.0290980497406
47,1056.5914059892148
48,1009.7089226882044
49,824.0336887672931
50,879.2381016607711
51,956.3326719885541
52,896.6757801876441
53,977.1754532177895
54,874.0272932915141
55,865.1828996226707
56,1019.409311472589
57,933.1849146625289
58,880.0461816749462
59,991.1461450132789
60,1024.041478862649
61,905.4744774506286
62,1015.9570992060608
63,985.7544487104217
64,924.9679734235079
65,805.0422816574415
66,921.0744263180699
67,1014.124584271008
68,931.4955424769223
69,922.5908505993201
70,845.9634579032539
71,1040.7263680262572
72,960.1725127116935
73,847.1287570204365
74,971.4098975556999
75,999.7086011906764
76,888.2359740107777
77,876.8696924218073
78,868.1411835024755
79,866.8937997428751
80,1157.7669965711243
81,973.92126559759
82,910.3115204744745
83,957.3795661881053
84,992.358555877689
85,1067.088673906351
86,873.7672464157689
87,879.121662078825
88,860.593479499562
89,865.5496217267215
90,1133.298247972025
91,916.9586369749718
92,967.8629619621447
93,889.8057270872072
94,958.5639594391258
95,968.8901701399205
96,945.3586618921855
97,958.5924829266975
98,846.122970211666
99,810.0480500811225
100,964.4978891297108
101,926.2742789090478
102,991.4354358459852
103,791.2577589986104
104,952.4445928106497
105,830.0484750422505
106,886.4006285583355
107,1026.9661428502768
108,826.5829601369063
109,803.8471509297269
110,930.8367232427055
111,864.1982439290383
112,933.1639756179607
113,1069.7729505592176
114,822.9233107050947
115,1010.2386350834298
116,1009.924006522365
117,919.2451413909821
118,1027.6930433615103
119,882.2953532715946
120,926.8553006261527
121,1006.8690762830497
122,1004.9456992569195
123,812.4027025528435
124,1074.4965385460778
125,1107.6467399251972
126,871.1501138158704
127,928.5620893116761
128,856.0239062925136
129,1141.8608923296315
130,949.5870317562861
131,1018.714584715849
132,960.2879422876376
133,996.0142174349646
134,1046.8508049089378
135,896.1797111644458
136,836.0212134678608
137,685.9461811409842
138,854.1557648895346
139,962.5589087764473
140,892.2076224004728
141,716.3944846365686
142,789.6692306293587
143,1073.360846538695
144,955.5226873148422
145,752.2339316200027
146,999.000678001279
147,916.7281816694052
148,951.5172578944902
149,858.3139091005606
150,1048.4797809204038
151,958.7135694564272
152,845.9851765170802
153,982.6652910903703
154,909.3733399342773
155,790.3363353003106
156,868.3784805851861
157,937.9119274619995
158,888.7402727045023
159,896.6480948205414
160,890.1921889622497
161,916.0586820801051
162,902.6635635031665
163,985.470174394888
164,783.1673840323086
165,965.3216994959286
166,962.8538517740344
167,948.1762634785058
168,1160.406735852286
169,1000.3039777047018
170,1035.8095238202748
171,871.5647064799612
172,924.895633145832
173,1189.8062653997192
174,1065.4402504421498
175,1000.2650217578022
176,975.279949130369
177,909.1151201596202
178,893.6674485248795
179,928.1987772327581
180,806.1988236459024
181,897.5013461841196
182,841.2133642420474
183,667.0148435836245
184,844.8596848299873
185,900.0462742525182
186,932.8466134714872
187,766.64814536694
188,995.8297780519957
189,960.7139789448372
190,735.2012986332734
191,862.233811486212
192,862.6325621300184
193,1022.0074655713532
194,981.8881381924004
195,943.9239455455818
196,786.6057306677518
197,814.053688551445
198,940.7707672039451
199,886.469630607598
200,917.0165951063043
201,866.5824404209949
202,883.6798403768637
203,1026.712841554571
204,929.5885454811734
205,784.4537660124668
206,1047.286990048894
207,785.9522651586261
208,989.5639318808419
209,876.4614412852044
210,882.1010918796597
211,879.1899957627295
212,1202.3899408836764
213,890.5719066310726
214,979.758186439505
215,816.6539597776336
216,935.5590939226961
217,1074.220446191302
218,910.5536741523301
219,1031.9094668022801
220,886.2641529396202
221,954.1112523064512
222,958.571203300384
223,1049.7170280114822
224,972.8784304570516
225,883.3508421450767
226,1003.5617606484396
227,920.472970448231
228,826.6569080038646
229,934.5353009653398
230,978.1505901901178
231,850.8574696995811
232,958.8877635756228
233,982.4957496916304
234,952.2549644031129
235,743.6152968086005
236,1015.440041178182
237,912.3716022496066
238,928.588949977685
239,863.7398001991348
240,1005.3672878280282
241,926.3750269393446
242,972.3640084804953
243,1049.8782446783084
244,775.915486628986
245,968.7690378013904
246,874.2458573280118
247,941.9209254173624
248,824.1573949392739
249,887.9515397044797
250,898.2693055530915
251,775.4708494735886
252,907.5676963561076
253,823.1639492745561
254,753.407624829478
255,815.0266314616257
256,1168.3956828310531
257,1067.839590652967
258,847.8289189890544
259,964.5950409489436
260,982.4191370136476
